ISO,Country,Tier,Income
AFG,Afghanistan,Prem - Synthetic POLYMOD,Low income
XAD,Akrotiri and Dhekelia,Global Average,Not Found
ALA,Aland,Global Average,Not Found
ALB,Albania,Prem - Synthetic POLYMOD,Upper middle income
DZA,Algeria,Prem - Synthetic POLYMOD,Upper middle income
ASM,American Samoa,High income,High income
AND,Andorra,High income,High income
AGO,Angola,Prem - Synthetic POLYMOD,Lower middle income
AIA,Anguilla,Global Average,Not Found
ATA,Antarctica,Global Average,Not Found
ATG,Antigua and Barbuda,High income,High income
ARG,Argentina,Prem - Synthetic POLYMOD,Upper middle income
ARM,Armenia,Prem - Synthetic POLYMOD,Upper middle income
ABW,Aruba,High income,High income
AUS,Australia,High income,High income
AUT,Austria,Prem - Synthetic POLYMOD,High income
AZE,Azerbaijan,Prem - Synthetic POLYMOD,Upper middle income
BHS,Bahamas,Prem - Synthetic POLYMOD,High income
BHR,Bahrain,Prem - Synthetic POLYMOD,High income
BGD,Bangladesh,Prem - Synthetic POLYMOD,Lower middle income
BRB,Barbados,Prem - Synthetic POLYMOD,High income
BLR,Belarus,Prem - Synthetic POLYMOD,Upper middle income
BEL,Belgium,Prem - Synthetic POLYMOD,High income
BLZ,Belize,Prem - Synthetic POLYMOD,Upper middle income
BEN,Benin,Prem - Synthetic POLYMOD,Lower middle income
BMU,Bermuda,High income,High income
BTN,Bhutan,Prem - Synthetic POLYMOD,Lower middle income
BOL,Bolivia,Prem - Synthetic POLYMOD,Lower middle income
BES,"Bonaire, Sint Eustatius and Saba",Global Average,Not Found
BIH,Bosnia and Herzegovina,Prem - Synthetic POLYMOD,Upper middle income
BWA,Botswana,Prem - Synthetic POLYMOD,Upper middle income
BVT,Bouvet Island,Global Average,Not Found
BRA,Brazil,Prem - Synthetic POLYMOD,Upper middle income
IOT,British Indian Ocean Territory,Global Average,Not Found
VGB,British Virgin Islands,High income,High income
BRN,Brunei,High income,High income
BGR,Bulgaria,Prem - Synthetic POLYMOD,High income
BFA,Burkina Faso,Prem - Synthetic POLYMOD,Low income
BDI,Burundi,Prem - Synthetic POLYMOD,Low income
CPV,Cabo Verde,Prem - Synthetic POLYMOD,Upper middle income
KHM,Cambodia,Prem - Synthetic POLYMOD,Lower middle income
CMR,Cameroon,Prem - Synthetic POLYMOD,Lower middle income
CAN,Canada,Prem - Synthetic POLYMOD,High income
XCA,Caspian Sea,Global Average,Not Found
CYM,Cayman Islands,High income,High income
CAF,Central African Republic,Prem - Synthetic POLYMOD,Low income
TCD,Chad,Prem - Synthetic POLYMOD,Low income
CHL,Chile,Prem - Synthetic POLYMOD,High income
CHN,China,Prem - Synthetic POLYMOD,Upper middle income
CXR,Christmas Island,Global Average,Not Found
XCL,Clipperton Island,Global Average,Not Found
CCK,Cocos Islands,Global Average,Not Found
COL,Colombia,Prem - Synthetic POLYMOD,Upper middle income
COM,Comoros,Prem - Synthetic POLYMOD,Lower middle income
COK,Cook Islands,Global Average,Not Found
CRI,Costa Rica,Prem - Synthetic POLYMOD,High income
CIV,Cote d'Ivoire,Prem - Synthetic POLYMOD,Lower middle income
HRV,Croatia,Prem - Synthetic POLYMOD,High income
CUB,Cuba,Prem - Synthetic POLYMOD,Upper middle income
CUW,Curacao,High income,High income
CYP,Cyprus,Prem - Synthetic POLYMOD,High income
CZE,Czechia,Prem - Synthetic POLYMOD,High income
